7,oefening,standaard Frequentie (p/d),materiaal,status,categorie_nl,tags_nl,naam_nl,doel_nl,content_nl,thumbnail_nl,categorie_vls,tags_vls,naam_vls,doel_vls,content_vls,thumbnail_vls,categorie_en,tags_en,naam_en,doel_en,content_en,thumbnail_en,categorie_fr,tags_fr,naam_fr,doel_fr,content_fr,thumbnail_fr
1,Houding staand,1,video,1,basis voorwaarden,Houding,Staand,Een ontspannen en neutrale houding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+1+houding+staand.png,basis voorwaarden,Houding,Staand,Een ontspannen en neutrale houding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+1+houding+staand.png,Basic conditions,Attitude,Standing,A relaxed and neutral attitude ensures relaxation in the throat area. A too high muscle tension is an important factor in the development of voting problems.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP +1+plaging +.png,Conditions de base,Attitude,Debout,Une attitude décontractée et neutre assure la relaxation dans la gorge. Une tension musculaire trop élevée est un facteur important dans le développement des problèmes de vote.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe + 1 + pagination + .png
2,Houding zittend,1,video,1,basis voorwaarden,Houding,Zittend,Een ontspannen en neutrale zithouding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+2+Houding+zittend.png,basis voorwaarden,Houding,Zittend,Een ontspannen en neutrale zithouding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+2+Houding+zittend.png,Basic conditions,Attitude,Sitting,A relaxed and neutral sitting position ensures relaxation in the throat area. A too high muscle tension is an important factor in the development of voting problems.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP +2+place+zitting.png,Conditions de base,Attitude,Séance,Une position assise décontractée et neutre assure la relaxation dans la gorge. Une tension musculaire trop élevée est un facteur important dans le développement des problèmes de vote.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe + 2 + place + place.png
3,Buisresonans,1,video,1,spanning,Relaxatie,Buisresonans,"Het maken van geluid in de buis verandert de luchtdrukverdeling in je strottenhoofd. Dat zorgt voor ontspanning in je keel, helpt je stemplooien beter te sluiten en draagt bij aan het herstel van je stem.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+3+buisresonans.png,spanning,Relaxatie,Buisresonans,"Het maken van geluid in de buis verandert de luchtdrukverdeling in je strottenhoofd. Dat zorgt voor ontspanning in je keel, helpt je stemplooien beter te sluiten en draagt bij aan het herstel van je stem.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+3+buisresonans.png,voltage,Relaxation,Tube resonance,"Making sound in the tube changes the air pressure distribution into your larynx. That ensures relaxation in your throat, helps you close your voting folds and contributes to the recovery of your voice.",https://streamable.com/l/sy75U3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/ef+3+BuisResonans.png,Tension,Relaxation,Résonance du tube,"Faire du son dans le tube change la distribution de la pression d'air dans votre larynx. Cela garantit une relaxation dans la gorge, vous aide à fermer vos plis de vote et à contribuer à la récupération de votre voix.",https://streamable.com/l/sysy75u3/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/ef+3+buisresonans.png
4,Buisresonans toepassen,2,video,1,spanning,Relaxatie,Buisresonans toepassen,"Door de ontspanning vanuit de buisresonansoefening mee te nemen naar het normale spreken, bouw je een gezonde stemgewoonte op.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+4+Buisresonans+toepassing.png,spanning,Relaxatie,Buisresonans toepassen,"Door de ontspanning vanuit de buisresonansoefening mee te nemen naar het normale spreken, bouw je een gezonde stemgewoonte op.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+4+Buisresonans+toepassing.png,voltage,Relaxation,Apply tube resonance,"By taking the relaxation from the tube resonance exercise to normal speaking, you build a healthy voting habitue.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/ef +4+BuisResonans + Apasseling.png,Tension,Relaxation,Appliquer la résonance du tube,"En prenant la relaxation de l'exercice de résonance des tubes à la normale, vous construisez une habitude de vote saine.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/ef + 4+ buisresonans + apasseling.png
5,Gaapstand,1,video,1,spanning,Relaxatie fonatie,Gaapstand ,"Wanneer je gaapt, zakt het strottenhoofd en ontstaat er meer ruimte in de keel. Zo krijgt je een ontspannen en draagkrachtig geluid.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+5+gaapstand.png,spanning,Relaxatie fonatie,Gaapstand ,"Wanneer je gaapt, zakt het strottenhoofd en ontstaat er meer ruimte in de keel. Zo krijgt je een ontspannen en draagkrachtig geluid.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+5+gaapstand.png,voltage,Relaxation fonation,Gaap position,"When you gala, the larynx sinks and there is more space in the throat. This way you get a relaxed and secure sound.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/ef+5+gaapstand.png,Tension,Fonation de relaxation,Position de la PCGra,"Lorsque vous gala, le larynx coule et il y a plus d'espace dans la gorge. De cette façon, vous obtenez un son détendu et sécurisé.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/ef+5+gaapstand.png
6,"Liptriller
Doel:
-stem opwarmen
-verhogen ademsteun
-Verleggen van de spanning van de larynx (of: strottenhoofd) naar de lippen
-toename stemplooi-elongatie en de amplitude van de mucosale golf zonder excessieve spanning ->maar dan in lekentaal of weglaten!",2,video,1,spanning,Relaxatie fonatie,Liptriller,Het laten trillen van je lippen zorgt voor ontspanning in je keel en een goede sluiting van je stemplooien. Het is een prima manier om je stem 'op te warmen'.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+liptriller.png,spanning,Relaxatie fonatie,Liptriller,Het laten trillen van je lippen zorgt voor ontspanning in je keel en een goede sluiting van je stemplooien. Het is een prima manier om je stem 'op te warmen'.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+liptriller.png,voltage,Relaxation fonation,Lipstriller,Let your lips vibrate ensures relaxation in your throat and a good closure of your voting folds. It is a great way to 'warm up' your voice.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Op+6+liptriller.png,Tension,Fonation de relaxation,Lipstriller,Laissez vos lèvres vibrer assure la détente dans la gorge et une bonne fermeture de vos plis de vote. C'est un excellent moyen de «réchauffer» votre voix.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/op+6+liptriller.png
7,"ZZ/VV oefening
Doel:
-Betere stemplooisluiting
- verleggen spanning van larynx naar resonatoren met als gevolg meer ontspannen fonatie",2,video,1,spanning,Relaxatie fonatie,ZZ/VV oefening,Geluid maken op ZZ en VV verkleint de kans dat je spanning zet rond je stemplooien. Hierdoor kunnen ze beter trillen en sluiten.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+zz_vv.png,spanning,Relaxatie fonatie,ZZ/VV oefening,Geluid maken op ZZ en VV verkleint de kans dat je spanning zet rond je stemplooien. Hierdoor kunnen ze beter trillen en sluiten.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+zz_vv.png,voltage,Relaxation fonation,ZZ / VV Exercise,Making noise on ZZ and VV reduces the chance that your tension takes around your voting folds. This allows them to vibrate and close better.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/ef+6+zz_vv.png,Tension,Fonation de relaxation,Exercice ZZ / VV,Faire du bruit sur ZZ et VV réduit les chances que votre tension reprend vos plis de vote. Cela permet à thème de vibrer et de fermer mieux.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/ef+6+zz_vv.png
8,"Stretchen
Doel:
-verbeteren lichaamshouding
-stressvermindering door ontspannen spieren
-vermijden onnodige spanning keelgebied.",2,video,1,spanning,Relaxatie fonatie,Stretchen,"Door je spieren te rekken, verbeter je je lichaamshouding en voorkom je onnodige spanning in het keelgebied.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+8+stretch.png,spanning,Relaxatie fonatie,Stretchen,"Door je spieren te rekken, verbeter je je lichaamshouding en voorkom je onnodige spanning in het keelgebied.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+8+stretch.png,voltage,Relaxation fonation,Stretch,"By stretching your muscles, improve your body posture and prevent unnecessary tension in the throat area.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/ef +8+stretch.png,Tension,Fonation de relaxation,S'étirer,"En étirant vos muscles, améliorez votre posture corporelle et prévenez une tension inutile dans la zone de gorge.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/ef + 8 + stretch.png
9,"Roepoefening
Doel:
-Verbeteren van stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening ,"Wanneer je je stem vanuit je adem ondersteunt, kun je op een gezonde manier het volume van je stem vergroten en verbeteren je je stembelastbaarheid.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+9+roepoefening.png,stem-productie,"adem, volume",Roepoefening ,"Wanneer je je stem vanuit je adem ondersteunt, kun je op een gezonde manier het volume van je stem vergroten en verbeteren je je stembelastbaarheid.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+9+roepoefening.png,Voice production,"Breath, volume",Calling,"When you support your voice from your breath, you can enlarge the volume of your voice in a healthy way and improve your voting capacity.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Op+9+roofing exercise.png,Production vocale,"Souffle, volume",Calonner,"Lorsque vous soutenez votre voix de votre souffle, vous pouvez agrandir le volume de votre voix de manière saine et améliorer votre capacité de vote.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/rop+9 anodroofing exercice.png
10,"Roepoefening met beweging
Doel:
- Door gebruik te maken van beweging vermijd je teveel spanning in het keelgebied. En verbeter je stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening met beweging,Als je gebruik maakt van beweging en het richten van je klank voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+10+roepen+met+beweging.png,stem-productie,"adem, volume",Roepoefening met beweging,Als je gebruik maakt van beweging en het richten van je klank voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+10+roepen+met+beweging.png,Voice production,"Breath, volume",Calling exercise with movement,If you use movement and aiming your sound you prevent too much tension in the throat area and you can increase the volume of your voice in a sent way.,https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Op+10+4S+mets + Movement.png,Production vocale,"Souffle, volume",Exercice d'appel avec mouvement,"Si vous utilisez des mouvements et que vous visez votre son, vous empêchez trop de tension dans la zone de gorge et vous pouvez augmenter le volume de votre voix d'une manière envoyée.",https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/rop+10+4s+mets + mouvement.png
11,"Roepoefening met beweging toepassen
Doel:
- Door gebruik te maken van beweging vermijd je teveel spanning in het keelgebied. En verbeter je stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening met beweging toepassen,Door de ontspanning vanuit de roepoefening met beweging mee te nemen naar het normale spreken voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+roepen+toepassen+beweging.png,stem-productie,"adem, volume",Roepoefening met beweging toepassen,Door de ontspanning vanuit de roepoefening met beweging mee te nemen naar het normale spreken voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+roepen+toepassen+beweging.png,Voice production,"Breath, volume",Apply call exercise with motion,"By taking the relaxation from the calling exercise with movement to normal speaking, you prevent too much tension in the throat area and you can enlarge the volume of your voice in a sent way.",https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+11 + groups + pasteeabas +bevision.png,Production vocale,"Souffle, volume",Appliquer l'exercice d'appel avec motion,"En prenant la relaxation de l'exercice d'appel avec le mouvement à la normale, vous empêchez trop de tension dans la zone de gorge et vous pouvez élargir le volume de votre voix d'une manière adressée.",https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe+11 + groupes + pasteebas + bevision.png
12,"Accent oefening Largo
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Largo,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Largo,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,Voice production,"Breathing, closure, vibration",Accent Exercise Largo,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can bet your voice relaxed.",https://streamable.com/l/1Drawberry/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+12+accent+largo.png,Production vocale,"Respiration, fermeture, vibration",Accent Exercice Largo,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez parier votre voix détendue.",https://streamable.com/l/1Drawberry/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe + 12 + accent + largo.png
13,"Accent oefening Andante
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Andante,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Andante,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,Voice production,"Breathing, closure, vibration",Accent Exercise Andante,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can bet your voice relaxed.",https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+13+accentaDantante.png,Production vocale,"Respiration, fermeture, vibration",Exercice d'accent Andante,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez parier votre voix détendue.",https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe+13+acCenteranante.png
14,"Accent oefening Allegro
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Allegro,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Allegro,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,Voice production,"Breathing, closure, vibration",Accent Exercise Allegro,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can bet your voice relaxed.",https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OF +14+accent+Allegro.png,Production vocale,"Respiration, fermeture, vibration",Accent exercice Allegro,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez parier votre voix détendue.",https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/of + 14 + accent + Allegro.png
15,"Accent oefening Toepassen
Doel:
Verbeterde adem-stemkoppeling toepassen in dagelijkse spraak.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening toepassen,Het toepassen van een goed gecoördineerde adem en stem in de dagelijkse spraak voorkomt onnodige spanning tijdens het spreken.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening toepassen,Het toepassen van een goed gecoördineerde adem en stem in de dagelijkse spraak voorkomt onnodige spanning tijdens het spreken.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,Voice production,"Breathing, closure, vibration",Apply Accent Exercise,Applying a well-coordinated breath and voice in daily speech prevents unnecessary tension while speaking.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+15+accent +tejas.png,Production vocale,"Respiration, fermeture, vibration",Appliquer l'exercice d'accentuation,L'application d'une respiration et d'une voix bien coordonnées dans le discours quotidien empêche une tensation inutile tout en parlant.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe + 15 + accent + tejas.png
16,"Triangulaire ademhaling
Doel:
-bevordering lage ademhaling
-verlagen van stressgevoel
-Hoofd leeg maken",2,video,1,stem-productie,"Adembeheersing, ontspanning",Triangulaire ademhaling,"Een langzame, gedoseerde adem stimuleert een ontspannen en lage buikademhaling. Dit kan ook het stressgevoel verlagen.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,stem-productie,"Adembeheersing, ontspanning",Triangulaire ademhaling,"Een langzame, gedoseerde adem stimuleert een ontspannen en lage buikademhaling. Dit kan ook het stressgevoel verlagen.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,Voice production,"Breathing, relaxation",Triangular breathing,"A slow, dosed breath stimulates a relaxed and low belly breathing. This can also reduce the stress feeling.",https://streamable.com/l/bMrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonws.com/Op+16+triangular+ breathing+PNG.png,Production vocale,"Respiration, détente",Respiration triangulaire,Une respiration lente et dosée stimule une respiration de ventre détendue et faible. Cela peut également réduire le sentiment de stress.,https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazons.com/op+16+triangular+ respiration + png.png
